Фамилия,Имя,Отчество,Прежние ФИО,Дата рождения,Место рождения,СНИЛС,ИНН,Вид документа,Серия и номер,Субъект Российской Федерации,Район,Город,Населенный пункт,Улица,Номер дома,Номер корпуса,Номер квартиры,Тип недвижимости,Вид собственности (недвижимость),Адрес недвижимости,Площадь (кв.м),Основание приобретения (недвижимость),Стоимость (недвижимость),Залог (недвижимость),Тип транспортного средства,Марка (транспорт),Год изготовления (транспорт),Идентификационный номер (VIN),Вид собственности (транспорт),Место нахождения/хранения (транспорт),Стоимость (транспорт),Залог (транспорт),Наименование банка/кредитной организации,Адрес банка/кредитной организации,Вид счета,Валюта счета,Дата открытия счета,Остаток на счете (руб.),Наименование организации,Организационно-правовая форма,Адрес организации,Уставный капитал (руб.),Паевой фонд (руб.),Доля участия (%),Основание участия,Вид ценной бумаги,Лицо выпустившее ценную бумагу,Номинальная величина обязательства (руб),Общее количество,Общая стоимость (руб),Наличные денежные средства,Адрес хранения наличных,Драгоценности,Адрес хранения драгоценностей,Предметы искусства,Адрес хранения предметов искусства,Имущество для профессиональных занятий,Адрес хранения имущества,Иное ценное имущество,Адрес хранения иного имущества,Ссылка на документ,ID
Нестерова,Конон,Димитриевич,Мясников Руслан Леоновна,1/19/1994,клх Минусинск,896810318278,6301042713,Свидетельство о рождении,"7,889,462,164",Ненецкий АО,Южный,ст. Кажим,Село,пер. Верхний,32,8,77,Земельный участок,Муниципальная,"бул. Культуры, д.36, кв.98",377,Наследство,3564769,Да,Водный транспорт,ЗАО «Мамонтов»,1983,nLl-325498,Государственная,"к. Плес, ул. Николаева, д. 13 к. 6, 036608",2493672,Да,РАО «Терентьева» Банк,"п. Апрелевка, бул. Чехова, д. 66 стр. 1, 118636",Сберегательный счет,RUB,9/17/2023,2504698,НПО «Анисимова-Сафонова»,ЗАО,"клх Красноселькуп, наб. Высотная, д. 8 стр. 7, 887991",30349189,48533895,57.59,Покупка акций,Фьючерс,ЗАО «Фомин»,4151,7776,85324,121154,"ул. Просвещения, д.190",238660,"пр. Черемушки, д.141",280773,"бул. Белинского, д.170",112441,"алл. Прибрежная, д.178",11796,"пер. Торговый, д.45",https://docs.google.com/document/d/1IQRA5w9W-Hou9DDVTJTveOktaivXRmo3vvnsM5KmgvI/edit?usp=sharing,c9313009-c6da-46f9-9ef0-cfe1ce738380
Панфилова,Ратибор,Борисович,Шашкова Моисей Ивановна,9/4/1942,клх Красновишерск,202782429498,8300453121,Паспорт,"1,597,441,477",респ. Удмуртия,Западный,ст. Горячий Ключ,Поселок,наб. Угловая,38,2,86,Квартира,Государственная,"ул. Гоголя, д.121, кв.15",187,Купля-продажа,2866992,Да,Легковой автомобиль,"ИП «Журавлева, Самойлова и Кириллов»",1972,nGc-729705,Частная,"п. Находка, ул. Луначарского, д. 67 стр. 516, 532690",4224373,Да,Нефтехимсервис Банк,"ст. Сургут (Хант.), пер. Целинный, д. 1 стр. 424, 833534",Депозитный счет,USD,2/1/2024,1814855,"ООО «Стрелкова, Тетерин и Дмитриев»",ОАО,"д. Когалым, бул. Енисейский, д. 45 к. 4, 724627",49481958,38113553,80.45,Покупка акций,Вексель,Акрон,28275,6945,338249,427729,"пер. 60 лет Октября, д.67",256117,"ул. Дарвина, д.90",107735,"алл. Дружбы, д.102",229166,"пер. Плеханова, д.129",200711,"алл. Безымянная, д.130",https://docs.google.com/document/d/1tMajjKabfnHvwg4Ast5sjcsxoPXUKFz_V8a6ZtblaKc/edit?usp=sharing,5d7eda90-6e2b-433f-b695-3cc366215cbf
Ковалев,Касьян,Чеславович,Петрова Аникита Афанасьевна,4/30/1984,г. Карабудахкент,117013968690,8302207885,Водительское удостоверение,"4,464,400,136",Камчатский край,Центральный,п. Зеленоград,Поселок,бул. Веселый,59,3,87,Квартира,Частная,"наб. Репина, д.138, кв.14",324,Купля-продажа,3126593,Да,Иное транспортное средство,ООО «Фомина-Ермаков»,1987,Zvx-164672,Муниципальная,"клх Устюжна, пер. Дорожников, д. 4/8 к. 856, 212077",3412480,Да,Банк ФК Открытие Банк,"д. Асбест, пер. Красный, д. 854 к. 515, 496058",Сберегательный счет,RUB,8/22/2022,1809317,Куйбышевазот,ЗАО,"клх Анива, пр. Курганный, д. 5/7 стр. 59, 805514",30587966,26679413,23-Jan,Покупка акций,Вексель,ОАО «Григорьев Гурьева»,48302,55,324875,322490,"алл. Щетинкина, д.87",119511,"пер. Ульянова, д.64",203589,"ш. Водопроводное, д.35",145188,"алл. Шолохова, д.63",24355,"наб. Красина, д.167",https://docs.google.com/document/d/1a0lZbDXxa37wrlGsrR6Qqz5gP9bnV6V_H_Hm4YQKkpI/edit?usp=sharing,25b1ea82-7d88-4330-9976-800778d36bc2
Игнатова,Сидор,Леонидовна,Коновалов Ким Афанасьевич,4/16/1999,с. Мурманск,113091226232,6640773377,Паспорт,"6,125,515,758",Волгоградская обл.,Западный,ст. Балашов,Деревня,пер. Курчатова,146,4,4,Земельный участок,Частная,"пер. Морской, д.23, кв.98",483,Купля-продажа,4392320,Нет,Воздушный транспорт,Ершова и партнеры,1981,hFQ-084373,Частная,"с. Геленджик, пер. Чкалова, д. 497 к. 4/8, 977953",4963501,Да,РАО «Щукин Голубев» Банк,"к. Троицк (Моск.), ш. Береговое, д. 75, 109417",Текущий счет,RUB,12/5/2014,3614182,"АО «Филатова, Ситникова и Блохина»",ОАО,"ст. Стерлитамак, ул. Леваневского, д. 19 стр. 85, 746629",21729245,18689441,26-Feb,Покупка акций,Акция,ИП «Кулакова Исаева»,37779,2708,38322,225263,"наб. Минская, д.21",12085,"алл. Народная, д.18",91087,"пр. Донской, д.62",273862,"ш. Деповское, д.36",112183,"пр. Макаренко, д.157",https://docs.google.com/document/d/1nqwkBGCuCz_payrx0cD4oOu6e8SXINpNBdJwYPfXyxs/edit?usp=sharing,0e2c2a99-5e42-40ef-85f2-acf9e3a85188
Крылов,Аверкий,Леоновна,Пестов Федосий Трофимович,3/30/1992,с. Нефтегорск (Самар.),939745145823,1209385198,Водительское удостоверение,"9,989,601,541",Забайкальский край,Восточный,к. Руза,Село,пр. 8-е Марта,162,2,46,Иное недвижимое имущество,Государственная,"алл. Окружная, д.145, кв.67",248,Наследство,2621591,Да,Легковой автомобиль,ЗАО «Зуев-Казакова»,2001,wfX-361893,Частная,"к. Устюжна, пр. Заречный, д. 8, 150181",2134303,Да,ЗАО «Галкина» Банк,"с. Верхнее Пенжино, пер. Болотный, д. 527 стр. 625, 119763",Депозитный счет,EUR,10/30/2017,3124558,ООО «Агафонова-Фомина»,ОАО,"г. Краснодар, пер. Леваневского, д. 6 к. 210, 898934",37873971,45603680,18.72,Приватизация,Опцион,"РАО «Елисеев, Симонов и Наумова»",48281,4719,26906,203833,"пер. Выгонный, д.137",272364,"пр. Жукова, д.96",147776,"бул. Седова, д.155",235990,"пр. Куйбышева, д.133",45496,"бул. Курганный, д.69",https://docs.google.com/document/d/18Dl6MXt7r1L8P6z0VkjGEHXa1AFdl1IqivK5NR1LX1Y/edit?usp=sharing,6546cac9-27f8-42bb-b0e9-e20fd17f5db5
Симонов,Тит,Адрианович,Мартынов Фадей Антипович,1/4/1967,д. Саранск,69479139559,1098912355,Свидетельство о рождении,"7,206,460,009",Ненецкий АО,Южный,д. Пенза,Деревня,ш. Фадеева,166,5,60,Гараж,Государственная,"алл. Базарная, д.45, кв.35",334,Дарение,272290,Да,Иное транспортное средство,ОАО «Анисимова Соколов»,1987,cAO-314265,Государственная,"к. Балтийск, ул. Тополиная, д. 31 к. 250, 753368",2627702,Нет,Велесстрой Банк,"клх Верхнее Пенжино, пр. Совхозный, д. 101 к. 42, 516996",Депозитный счет,RUB,2/21/2022,2512800,"РАО «Лазарев, Голубев и Шубин»",ООО,"г. Жуковский, пер. Путевой, д. 226 к. 388, 372144",32890010,37260401,35.46,Приватизация,Фьючерс,ОАО «Меркушев-Рогова»,30012,8265,55498,220169,"ш. Гагарина, д.103",140339,"бул. Макаренко, д.192",66830,"пер. Камский, д.181",93878,"алл. Индустриальная, д.187",166333,"ул. Заречная, д.199",https://docs.google.com/document/d/1Ky93psU6IfGHJQsYkfsT6qs1MJLUGWeYm18YUzDE4FI/edit?usp=sharing,45d47d73-fd5b-4c6c-8199-ad6719f4a99f
Семенова,Семен,Григорьевич,Данилова Феоктист Иосипович,3/14/1975,ст. Нягань,210447498900,6214802249,Водительское удостоверение,"6,377,867,909",респ. Бурятия,Южный,с. Санкт-Петербург,Село,пр. Микрорайон,161,1,49,Гараж,Частная,"пер. Заливный, д.150, кв.14",475,Дарение,3600570,Да,Легковой автомобиль,Котова Групп,2007,gQt-057462,Муниципальная,"с. Цимлянск, пр. Пушкина, д. 1 к. 448, 070952",596145,Да,Концерн Автоматика Банк,"п. Шаховская, пр. Терешковой, д. 1/5 к. 975, 276544",Депозитный счет,USD,3/26/2024,147605,НПО «Дроздова»,ПАО,"к. Белорецк, бул. Детский, д. 34 к. 9/4, 356062",12619895,16149316,30.24,Вклад в уставный капитал,Фьючерс,ВГТРК,9453,4572,290087,118509,"бул. Прудный, д.64",292716,"пер. Партизанский, д.62",27211,"ул. Зеленая, д.7",58699,"пр. Победа, д.172",84318,"ш. Кузнецкое, д.103",https://docs.google.com/document/d/18SLGLgCv4-KG8i8OrNPSysgTl4WXgsKdMFK5YczvonI/edit?usp=sharing,e7b6a860-6953-45bc-8687-d50ffa625a35
Шарапова,Лукия,Ярославович,Рыбаков Наталья Харитонович,12/5/1979,д. Санкт-Петербург,179117029409,1171094881,Водительское удостоверение,"9,003,608,461",респ. Калмыкия,Западный,ст. Новый Оскол,Село,пр. Сиреневый,200,3,58,Иное недвижимое имущество,Муниципальная,"ш. Димитрова, д.104, кв.76",240,Купля-продажа,3213979,Нет,Воздушный транспорт,Славнефть,2005,vLH-058053,Частная,"ст. Тулпан, ш. Чехова, д. 70 стр. 81, 457439",3523574,Нет,"ЗАО «Рогов, Гаврилов и Денисова» Банк","ст. Завьялиха, ш. Путейское, д. 638 к. 27, 158254",Текущий счет,EUR,11/29/2017,1044353,Familia,ЗАО,"г. Псков, бул. Спартака, д. 24, 921885",7016331,9578857,63.0,Покупка акций,Фьючерс,Харитонов и партнеры,49293,4526,438792,56819,"наб. Тюленина, д.150",158996,"пер. Магистральный, д.46",199352,"алл. Титова, д.89",294975,"ул. Никитина, д.38",67698,"алл. Титова, д.12",https://docs.google.com/document/d/1cVXk-3txSPjSwIlmZ7_Eyg3BP3pz0ZY6xwAXM4YZMQo/edit?usp=sharing,1962b230-4a48-4d0d-a083-7a1d68ec85ad
Комаров,Ярослав,Ермилович,Архипов Изот Трифонович,11/9/1972,г. Балтийск,881944524785,6871354862,Свидетельство о рождении,"6,235,692,010",респ. Карелия,Южный,г. Нижний Тагил,Деревня,пер. 8 Марта,100,5,51,Дача,Государственная,"ул. Горького, д.155, кв.55",75,Наследство,1633644,Нет,Сельскохозяйственная техника,"ОАО «Никонов, Некрасов и Сафонов»",2021,MNG-531874,Муниципальная,"к. Каневская, пер. 50 лет Октября, д. 59 к. 287, 079304",2619714,Нет,АО «Гуляев» Банк,"с. Нижний Новгород, пр. Свободы, д. 8/5 стр. 3/7, 651182",Депозитный счет,USD,1/6/2021,4765036,"ОАО «Петров, Бурова и Тарасова»",ПАО,"к. Игарка, ш. Коллективное, д. 363 стр. 9, 993859",8242060,14482186,17-Jul,Покупка акций,Фьючерс,Никонова и партнеры,20210,8195,337856,94175,"бул. Подгорный, д.112",297206,"пр. Тульский, д.83",275646,"пр. Кошевого, д.164",192717,"алл. Металлистов, д.2",242990,"ш. Титова, д.144",https://docs.google.com/document/d/1fEGDlugGlFKfqAs4pO383kWIqm9d3zoRuZL_i-CMOK0/edit?usp=sharing,f8aaeb77-f12d-4611-9a3e-338b344310e1
Исаев,Полина,Аскольдовна,Фокин Самсон Терентьевич,6/26/1957,с. Новокузнецк,299230020725,2348850558,Свидетельство о рождении,"7,470,643,324",Алтайский край,Западный,д. Губкинский,Село,ш. Революции,88,6,30,Гараж,Частная,"ул. Курчатова, д.11, кв.25",144,Наследство,3156751,Да,Мототранспортное средство,НПО «Кондратьев Яковлев»,1987,jPc-680856,Государственная,"д. Карпинск, наб. Дарвина, д. 691 стр. 333, 995346",4469687,Да,ООО «Виноградов Зайцева» Банк,"г. Баргузин, наб. Поселковая, д. 9/7 стр. 9/1, 547806",Сберегательный счет,EUR,4/15/2024,3144301,НПО «Ситникова»,ПАО,"г. Оха, пер. Советской Армии, д. 83 к. 807, 144785",33116361,17925945,52.08,Покупка акций,Акция,ГК Великан,13818,2794,362967,70909,"ш. Тюленина, д.31",28025,"алл. Луговая, д.171",95329,"пр. Курчатова, д.36",123734,"алл. Революции, д.171",194342,"пр. Воронежский, д.134",https://docs.google.com/document/d/1iIKfK02CUqglFB_px0sgFeQwBT_WP-s2c8I2rdz5Xuw/edit?usp=sharing,a948964d-fbaf-4615-888c-76c7fac28686
Мясникова,Владилен,Венедиктович,Зимина Мартын Феликсовна,3/31/1956,п. Оренбург,547889308941,3195767806,Свидетельство о рождении,"2,078,656,143",Ленинградская обл.,Южный,д. Малгобек,Деревня,ш. Осенное,166,5,90,Земельный участок,Частная,"наб. Котовского, д.27, кв.65",165,Дарение,4421275,Нет,Водный транспорт,Гуляева Лимитед,2008,sie-247863,Муниципальная,"с. Тамбов, ул. Степная, д. 49 к. 817, 771962",3904486,Нет,ЗАО «Медведев» Банк,"ст. Яшалта, пер. Кубанский, д. 800 к. 5, 501922",Сберегательный счет,EUR,11/20/2022,3494118,ОАО «Афанасьева-Крылов»,ПАО,"д. Калач-на-Дону, бул. Плеханова, д. 4/4 стр. 343, 215742",39035452,5132503,7-Mar,Покупка акций,Фьючерс,Терентьев Групп,13125,6200,29293,333092,"алл. Полярная, д.75",289374,"алл. Сиреневая, д.31",247008,"наб. Гончарова, д.136",86492,"пер. Тимирязева, д.36",185971,"ш. Светлое, д.93",https://docs.google.com/document/d/1I6ibNFStZhVDDW6u0l0S7b4Arj9ImgJpd0vTUxLrvLM/edit?usp=sharing,a5a52c10-44d7-4d58-a00b-f98f344fa6e6
Кулагин,Радислав,Эльдаровна,Галкина Иосиф Захаровна,7/6/1978,д. Бугульма,937231956841,5938872440,Водительское удостоверение,"5,269,868,283",Хабаровский край,Восточный,клх Туруханск,Село,пр. Амурский,193,8,21,Иное недвижимое имущество,Государственная,"ш. Таежное, д.100, кв.6",367,Купля-продажа,4080471,Да,Мототранспортное средство,ИП «Пестова»,1970,Mfi-244888,Государственная,"г. Серафимович, алл. 60 лет Октября, д. 24, 002401",4560980,Да,Арконик СМЗ Банк,"п. Сасово, ул. Иванова, д. 11 к. 9/6, 509500",Сберегательный счет,EUR,5/19/2021,3305272,РАО «Рыбакова»,ПАО,"п. Междуреченский, ш. Павлика Морозова, д. 8 к. 20, 653111",22862304,12604846,28.37,Приватизация,Облигация,АО «Щербаков»,26497,6337,457700,442048,"ш. Уральское, д.42",30363,"пр. Дальневосточный, д.7",255592,"пер. Леонова, д.184",216202,"наб. Трудовая, д.19",109401,"наб. Полевая, д.73",https://docs.google.com/document/d/1XZN1sgxljeYDvEBKyA4OBAq-Oxshvu05FfPDkhKJVD4/edit?usp=sharing,8179c9cc-e767-4eb5-89ea-d1df5194d2d7
Белоусов,Евлампий,Петровна,Куликов Евдокия Брониславович,11/20/1963,ст. Геленджик,956209840582,3915849777,Паспорт,"8,620,220,420",Алтайский край,Западный,д. Бузулук,Поселок,бул. Гончарова,21,2,1,Иное недвижимое имущество,Муниципальная,"бул. Мелиоративный, д.106, кв.18",363,Купля-продажа,3871806,Да,Легковой автомобиль,ПСК,1979,yDl-553787,Частная,"г. Курган, пер. Радужный, д. 6 стр. 58, 960216",3781539,Да,НПО «Блохин-Артемьева» Банк,"клх Тимашевск, ул. Маяковского, д. 8/5 к. 388, 681332",Сберегательный счет,EUR,9/26/2022,4865172,ИП «Волков-Лебедева»,ПАО,"с. Лянтор, бул. Культуры, д. 7 стр. 4, 829856",4381713,41452835,13-Feb,Покупка акций,Вексель,РАО «Харитонова Федосеев»,16885,5847,262135,57071,"пр. Базарный, д.195",224802,"ул. Петровская, д.191",470636,"пер. Спортивный, д.16",81744,"пер. Краснофлотский, д.195",166885,"ш. Ворошилова, д.105",https://docs.google.com/document/d/1daFPko_rL1cuB3rl6xR-PqT2BlH05EG31VMDrzV248k/edit?usp=sharing,ce399be5-7f4e-4e71-926d-7748a490b069
Логинов,Прохор,Владимировна,Орехова Прокл Ануфриевич,2/16/1961,к. Миллерово,515426194574,3524094177,Водительское удостоверение,"1,236,320,540",Ставропольский край,Центральный,г. Андреаполь,Поселок,алл. Одесская,59,10,46,Гараж,Муниципальная,"ш. Тополиное, д.8, кв.74",256,Наследство,3336701,Нет,Сельскохозяйственная техника,Кулагина Инкорпорэйтед,2004,Ggy-765849,Муниципальная,"д. Катайск, пер. Трудовой, д. 65 стр. 8, 477393",1996198,Нет,Ильина Групп Банк,"к. Гдов, бул. Леонова, д. 7 к. 3, 286225",Депозитный счет,RUB,7/16/2020,2176716,ООО «Симонов Мухин»,ООО,"к. Листвянка (Иркут.), алл. Брянская, д. 7 стр. 891, 466622",36052730,6546848,28.42,Покупка акций,Фьючерс,ЗАО «Савина Васильев»,15452,8818,492717,475769,"бул. Виноградный, д.80",146808,"бул. Крайний, д.116",139039,"пр. Космический, д.121",28759,"ул. Вавилова, д.173",141044,"бул. Кочубея, д.92",https://docs.google.com/document/d/1o7Jxhmk9-V7aM6svqWgYOzm37GJcJJXUGDBZSP4Mfus/edit?usp=sharing,2b6bbcc3-bbea-4663-8aea-5be67d0c1a9d
Яковлев,Мстислав,Борисовна,Лебедев Регина Егорович,2/26/1987,д. Мурманск,243240547520,3675928087,Паспорт,"2,559,826,760",респ. Кабардино-Балкария,Центральный,ст. Гремячинск (Бурят.),Деревня,бул. Краснодарский,126,9,65,Дача,Государственная,"ш. Крылова, д.169, кв.61",38,Наследство,709772,Да,Сельскохозяйственная техника,Татэнергосбыт,2008,LqC-396268,Частная,"с. Мончегорск, пер. Прудовой, д. 8/8 к. 5, 925434",670332,Нет,"ИП «Лыткин, Жукова и Александров» Банк","клх Черский, ул. Базарная, д. 4/5 к. 8, 113739",Текущий счет,EUR,12/18/2014,3997352,ЗАО «Кириллов Русакова»,ЗАО,"п. Ачинск, ш. Толстого, д. 6/3 к. 38, 164279",28876922,29957250,92.5,Покупка акций,Фьючерс,ООО «Комиссаров»,28866,2451,356997,357091,"бул. Студенческий, д.141",273957,"наб. Баумана, д.125",289014,"пр. Заливный, д.87",183596,"ш. Орджоникидзе, д.115",191556,"пр. Терешковой, д.55",https://docs.google.com/document/d/1XSdxxeH7vIIyQMHjD-u95k0C7xJ4j1R_1BA71asqG8w/edit?usp=sharing,d304710c-5bc2-48d4-adfb-a2311cf96af6
Никифорова,Ульяна,Гавриилович,Крылова Григорий Жоресович,6/13/1984,с. Карабудахкент,596695781757,7507138879,Паспорт,"2,850,231,994",Чукотский АО,Восточный,с. Москва,Поселок,бул. Торговый,150,9,42,Квартира,Государственная,"наб. Украинская, д.8, кв.98",453,Купля-продажа,147016,Нет,Сельскохозяйственная техника,АО «Семенова»,1976,Wty-764731,Государственная,"клх Прохладный, бул. Докучаева, д. 52 к. 93, 895284",1391626,Нет,ЗАО «Павлова» Банк,"к. Воскресенск, алл. Лесная, д. 13 стр. 844, 838367",Депозитный счет,EUR,4/19/2015,199629,"НПО «Константинов, Павлов и Наумова»",ПАО,"к. Токма, пер. Правды, д. 909, 449765",38426947,29086572,86.75,Вклад в уставный капитал,Опцион,Лаврентьев Лимитед,45897,1165,329227,424208,"пр. Ворошилова, д.131",243580,"пр. Труда, д.101",150711,"ш. Азовское, д.155",31855,"пер. Просвещения, д.2",108070,"пр. Металлистов, д.67",https://docs.google.com/document/d/1Xaxos-lihvQ9P0VYaNX4sJvFDOuu03rp4Vdo6u_biQI/edit?usp=sharing,b79d586a-4582-42a9-80a6-2454907c5255
Мишина,Октябрина,Львовна,Захарова Иосиф Виленович,6/15/1948,г. Нарткала,359597252028,1076831892,Свидетельство о рождении,"3,952,569,050",респ. Карелия,Западный,ст. Котельнич,Село,алл. Краснофлотская,14,5,24,Иное недвижимое имущество,Муниципальная,"пер. 1 Мая, д.111, кв.61",318,Купля-продажа,4678249,Нет,Легковой автомобиль,ИП «Антонов»,2016,Njz-672139,Государственная,"ст. Краснокамск, ул. Коммунаров, д. 4, 118463",3517620,Нет,Саткинский чугуноплавильный завод Банк,"д. Красногорск (Моск.), пер. Пушкина, д. 5/7, 865123",Текущий счет,RUB,3/29/2021,3737691,"АО «Борисов, Самойлова и Никонова»",ОАО,"д. Тутончаны, бул. Ягодный, д. 2/7 к. 4, 430700",7959405,24243936,78.65,Вклад в уставный капитал,Опцион,ТГК-16,36703,6859,141318,207953,"пер. Тукая, д.184",242779,"ш. Бабушкина, д.152",85199,"ул. Харьковская, д.3",49521,"пер. Суворова, д.22",244141,"пр. Станционный, д.13",https://docs.google.com/document/d/1tTMd-6bK1BQWmPl8HneISlcZ7x3nposIQnRSFR-CFmA/edit?usp=sharing,0ecfdcc5-0462-4a92-a637-872e537a279f
Зуева,Харлампий,Герасимович,Блинов Кирилл Игоревна,6/17/1978,к. Шатой,294773677345,3143657599,Паспорт,"9,483,373,836",Камчатский край,Восточный,г. Карталы,Село,ул. Сиреневая,38,5,15,Дача,Муниципальная,"наб. Садовая, д.181, кв.71",413,Наследство,3002255,Нет,Мототранспортное средство,"ООО «Медведева, Ильина и Воронцов»",2003,peW-157563,Муниципальная,"д. Лесной (Сверд.), пер. Калинина, д. 6/1 к. 5, 456599",4527487,Да,Роберт Бош (Robert Bosch) Банк,"с. Тайшет, наб. Магистральная, д. 4/5 стр. 3/8, 678288",Сберегательный счет,RUB,10/24/2015,4187763,ЗАО «Рябова-Лобанова»,ОАО,"д. Ясный (Оренб.), пр. Прохладный, д. 5/7 к. 526, 463880",39249954,47892557,63.83,Вклад в уставный капитал,Акция,"ОАО «Доронина, Ершова и Рябова»",5950,5502,95837,172147,"алл. Мая 1, д.32",107663,"бул. Матросова, д.14",456983,"бул. Подлесный, д.122",255077,"алл. Советов, д.162",227395,"алл. Ленина, д.54",https://docs.google.com/document/d/1-fuxAi_bKbOSBzI985fP3eSei41KduvRHxmomx24sgw/edit?usp=sharing,00cf3149-2803-4a16-89c2-4f242db6bf78
Кабанова,Нина,Васильевич,Зиновьев Вадим Иосифович,8/25/1969,д. Белый Яр (Томск.),676656130094,7645857232,Паспорт,"6,106,588,764",Ямало-Ненецкий АО,Южный,ст. Назрань,Село,ш. Абрикосовое,163,3,34,Иное недвижимое имущество,Муниципальная,"наб. Элеваторная, д.182, кв.76",165,Дарение,1522041,Да,Сельскохозяйственная техника,Нортгаз,1978,ePp-362823,Муниципальная,"ст. Сузун, алл. Ключевая, д. 2, 745842",2165455,Да,"ИП «Молчанова, Никитина и Ларионова» Банк","к. Тикси, пер. 8 Марта, д. 8/1, 824672",Депозитный счет,EUR,2/5/2022,7400,"РАО «Комарова, Рябова и Коновалов»",ООО,"г. Нурлат, ул. Техническая, д. 1/9 к. 2/1, 420931",43702349,25971602,92.83,Вклад в уставный капитал,Облигация,Константинова Лимитед,45013,5148,466126,172161,"бул. Гаражный, д.96",278130,"наб. Гаражная, д.148",436952,"пр. Поселковый, д.13",96345,"бул. Западный, д.105",201064,"ш. Нефтяников, д.12",https://docs.google.com/document/d/1JAr8TOX7e1LW1OGTgTT76Qyy__SGxTZ5V9ofeCWWjbE/edit?usp=sharing,23934aa3-5c51-421f-b86b-2abb3509b3e0
Смирнова,Илья,Ильинична,Афанасьева Радислав Андреевна,1/7/1989,п. Воскресенск,513085933683,7634793655,Паспорт,"3,898,888,416",Чукотский АО,Южный,г. Лагань,Поселок,пр. Мира,7,2,6,Земельный участок,Государственная,"алл. Семашко, д.126, кв.20",282,Дарение,1961366,Нет,Мототранспортное средство,Королева и партнеры,2002,hej-232244,Муниципальная,"п. Стерлитамак, пр. Мирный, д. 39, 602867",3318269,Нет,РАО «Стрелков» Банк,"с. Саратов, ул. Заозерная, д. 4/8, 428746",Депозитный счет,RUB,5/28/2015,3917489,Жуков и партнеры,ООО,"д. Нефедова, пер. Крайний, д. 49 к. 2, 920235",2460316,12414445,Jul-13,Покупка акций,Облигация,Дементьев Групп,4759,709,245813,174584,"бул. Малиновый, д.185",241777,"пер. Поперечный, д.152",109811,"ш. О.Кошевого, д.101",63325,"ул. Разина, д.63",196020,"алл. Тракторная, д.16",https://docs.google.com/document/d/1WFx_MwWY1uRLg7IHRhdN0wjb5eIV9g_pS_vNpfHKr5k/edit?usp=sharing,d7848a17-c216-4350-a23d-3c95a72895d9
Ефимова,Юрий,Арсеньевич,Беляков Симон Владимировна,5/23/2003,п. Советский,130077871827,8727314183,Водительское удостоверение,"2,039,441,002",Еврейская АО,Центральный,п. Великий Устюг,Поселок,ул. Новостройка,50,9,17,Дача,Частная,"ш. Победа, д.74, кв.11",396,Купля-продажа,4402496,Да,Водный транспорт,"АО «Симонова, Филатов и Коновалов»",2008,Hen-686261,Муниципальная,"ст. Шенкурск, наб. Ручейная, д. 388, 180905",3227916,Да,"ОАО «Бобылева, Дементьев и Мельников» Банк","г. Тихвин, ш. Пушкина, д. 855 к. 17, 896769",Текущий счет,USD,6/6/2019,756680,ЗАО «Суворов Алексеев»,ЗАО,"с. Саянск, пр. Ударный, д. 7/4, 700071",8474968,14275631,Mar-13,Вклад в уставный капитал,Облигация,АО «Лазарев»,41509,916,19832,27861,"ул. Высотная, д.138",53190,"алл. Осипенко, д.33",301273,"бул. Свободный, д.3",220332,"наб. Карла Либкнехта, д.172",33845,"ш. Гоголя, д.133",https://docs.google.com/document/d/1dJLfFMHuN2EAaaClwUB2MX0onImMZFBp-mefxSvU_RQ/edit?usp=sharing,fdbe899c-e92f-42f5-bb7d-42547155b44e
Князев,Никандр,Авдеевич,Кириллова Игнатий Юльевна,5/19/1972,ст. Кашира,197322037179,2455544785,Свидетельство о рождении,"6,871,553,499",респ. Мордовия,Восточный,д. Люберцы,Поселок,ш. Прохладное,9,5,93,Гараж,Государственная,"алл. Луговая, д.86, кв.8",436,Наследство,2101283,Да,Сельскохозяйственная техника,АО «Мамонтов Королев»,1970,BgT-612003,Государственная,"д. Алапаевск, пер. Московский, д. 5/9 к. 73, 786375",1682579,Нет,ОАО «Кошелев-Стрелкова» Банк,"ст. Челябинск, бул. Рабочий, д. 3/3, 879932",Депозитный счет,USD,9/20/2017,467067,"НПО «Емельянов, Трофимов и Веселов»",ООО,"клх Валаам, наб. Рябиновая, д. 30 стр. 1/2, 881708",29210040,27236120,20.31,Приватизация,Вексель,НПО «Устинова»,16733,1769,279043,258488,"бул. Володарского, д.96",135978,"ул. Детская, д.141",29398,"бул. Ватутина, д.121",282785,"алл. Карла Либкнехта, д.56",222081,"пр. Заовражный, д.176",https://docs.google.com/document/d/18vRp6NgFUaO_2uY-GJyQg8bD2lUpLVIJ1bKvJOrlP0Q/edit?usp=sharing,7e811865-3420-429a-a02d-bba43f21180c
